NO_IES,UF,CURSO,RAÇA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,BRANCA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
UNIVERSIDADE DO DISTRITO FEDERAL,DF,Medicina,PARDA
